epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9345.08,0.74426,0.65765,2.52514,0.76113,0.82891,0.84775,0.61782,0.89048,0.75413,2.66693,0.000742625,0.000742625,0.000742625
43,9565.15,0.73612,0.64535,2.48697,0.78846,0.82358,0.86443,0.65086,0.82502,0.73075,2.65612,0.00073025,0.00073025,0.00073025
44,9788.28,0.72405,0.62652,2.47913,0.74264,0.84221,0.83829,0.61334,0.83274,0.73904,2.68906,0.000717875,0.000717875,0.000717875
45,9993.91,0.73249,0.63432,2.50443,0.74817,0.86113,0.86492,0.66008,0.84149,0.72748,2.63679,0.0007055,0.0007055,0.0007055
46,10186,0.73375,0.64996,2.49966,0.79659,0.81758,0.8719,0.64942,0.82526,0.74072,2.68379,0.000693125,0.000693125,0.000693125
47,10399.6,0.74547,0.64261,2.52122,0.7671,0.86156,0.87067,0.64211,0.86308,0.73932,2.67436,0.00068075,0.00068075,0.00068075
48,10609.4,0.72109,0.63995,2.47728,0.82053,0.78733,0.85477,0.63704,0.81948,0.72436,2.70786,0.000668375,0.000668375,0.000668375
49,10824.3,0.71666,0.62395,2.46962,0.77624,0.8199,0.86618,0.64717,0.8287,0.72808,2.64472,0.000656,0.000656,0.000656
50,11043.6,0.70931,0.61331,2.46471,0.78955,0.82291,0.87497,0.64114,0.83325,0.73291,2.67412,0.000643625,0.000643625,0.000643625
51,11268.2,0.72029,0.62153,2.48686,0.75731,0.84878,0.86267,0.64658,0.82707,0.74125,2.61843,0.00063125,0.00063125,0.00063125
52,11488.8,0.70441,0.60874,2.44996,0.74915,0.84387,0.86252,0.63276,0.83125,0.762,2.64164,0.000618875,0.000618875,0.000618875
53,11695,0.69948,0.6061,2.48025,0.83375,0.80295,0.87896,0.65771,0.82362,0.73329,2.65951,0.0006065,0.0006065,0.0006065
54,11918.3,0.70172,0.60544,2.46,0.79182,0.83803,0.87447,0.64315,0.81063,0.74721,2.61985,0.000594125,0.000594125,0.000594125
55,12134.8,0.69034,0.59688,2.45832,0.85027,0.84498,0.89049,0.66767,0.83762,0.70237,2.63116,0.00058175,0.00058175,0.00058175
56,12333.2,0.70862,0.61073,2.45686,0.85126,0.77655,0.88236,0.64952,0.84184,0.746,2.61931,0.000569375,0.000569375,0.000569375
57,12531.4,0.69944,0.5976,2.41334,0.85918,0.77823,0.86679,0.64026,0.82328,0.73704,2.61611,0.000557,0.000557,0.000557
58,12717.8,0.69157,0.59271,2.42031,0.80805,0.79238,0.86291,0.63916,0.83393,0.72593,2.61778,0.000544625,0.000544625,0.000544625
59,12915.1,0.70633,0.60155,2.4673,0.78443,0.82587,0.86653,0.63453,0.81795,0.7263,2.63654,0.00053225,0.00053225,0.00053225
60,13104.1,0.70755,0.58336,2.44974,0.80582,0.82754,0.87114,0.6508,0.8414,0.69455,2.65768,0.000519875,0.000519875,0.000519875
61,13302.9,0.68121,0.57306,2.43283,0.80203,0.79559,0.85872,0.64151,0.82407,0.73193,2.63331,0.0005075,0.0005075,0.0005075
62,13492.2,0.67541,0.57266,2.42525,0.78216,0.79598,0.84956,0.63032,0.82187,0.73028,2.64952,0.000495125,0.000495125,0.000495125
63,13680.7,0.6839,0.5851,2.45707,0.75346,0.86584,0.86946,0.65695,0.81606,0.71504,2.60285,0.00048275,0.00048275,0.00048275
64,13869.1,0.66515,0.56424,2.41417,0.80084,0.81083,0.86813,0.66041,0.78465,0.69223,2.57929,0.000470375,0.000470375,0.000470375
65,14063.7,0.68496,0.58033,2.42703,0.7898,0.81532,0.86717,0.65636,0.78977,0.69983,2.6016,0.000458,0.000458,0.000458
66,14260.6,0.66821,0.56776,2.39338,0.82323,0.772,0.85235,0.64615,0.8117,0.72229,2.60011,0.000445625,0.000445625,0.000445625
67,14459.1,0.66721,0.55657,2.44546,0.83274,0.77361,0.86693,0.65133,0.8067,0.68774,2.62753,0.00043325,0.00043325,0.00043325
68,14657.2,0.66023,0.56423,2.43656,0.77473,0.82898,0.85834,0.64932,0.80899,0.71846,2.59246,0.000420875,0.000420875,0.000420875
69,14835,0.65485,0.54386,2.40586,0.78267,0.84891,0.85796,0.64005,0.80849,0.71653,2.61181,0.0004085,0.0004085,0.0004085
70,15028.7,0.65746,0.54941,2.38656,0.76173,0.85184,0.87369,0.66525,0.80125,0.70604,2.61596,0.000396125,0.000396125,0.000396125
71,15222.9,0.67697,0.56015,2.40281,0.8251,0.7936,0.8786,0.66445,0.81982,0.70089,2.58923,0.00038375,0.00038375,0.00038375
72,15420.6,0.66842,0.55221,2.42392,0.81412,0.77727,0.85867,0.65223,0.79737,0.68123,2.61536,0.000371375,0.000371375,0.000371375
73,15619.1,0.64529,0.52461,2.383,0.82506,0.79887,0.87135,0.66083,0.79851,0.67086,2.58259,0.000359,0.000359,0.000359
74,15800.5,0.64917,0.52646,2.36594,0.81677,0.82021,0.8712,0.6645,0.80522,0.70502,2.58247,0.000346625,0.000346625,0.000346625
75,16000.6,0.6511,0.54243,2.39983,0.79293,0.85315,0.8751,0.66158,0.80267,0.67684,2.58805,0.00033425,0.00033425,0.00033425
76,16204.1,0.64459,0.52659,2.3924,0.75337,0.85882,0.87635,0.66675,0.80243,0.69029,2.60151,0.000321875,0.000321875,0.000321875
